  time (s)              T(t) (K)              P(t) (Pa)           Kinetic En. (n.u.)     Potential En. (n.u.) Total En. (n.u.)
  7.3000e-13                   nan            0.00000000                  nan                   nan                   nan 
  7.3500e-13                   nan            0.00000000                  nan                   nan                   nan 
  7.4000e-13                   nan            0.00000000                  nan                   nan                   nan 
  7.4500e-13                   nan            0.00000000                  nan                   nan                   nan 
  7.5000e-13                   nan            0.00000000                  nan                   nan                   nan 
  7.5500e-13                   nan            0.00000000                  nan                   nan                   nan 
  7.6000e-13                   nan            0.00000000                  nan                   nan                   nan 
  7.6500e-13                   nan            0.00000000                  nan                   nan                   nan 
  7.7000e-13                   nan            0.00000000                  nan                   nan                   nan 
  7.7500e-13                   nan            0.00000000                  nan                   nan                   nan 
  7.8000e-13                   nan            0.00000000                  nan                   nan                   nan 
  7.8500e-13                   nan            0.00000000                  nan                   nan                   nan 
  7.9000e-13                   nan            0.00000000                  nan                   nan                   nan 
  7.9500e-13                   nan            0.00000000                  nan                   nan                   nan 
  8.0000e-13                   nan            0.00000000                  nan                   nan                   nan 
  8.0500e-13                   nan            0.00000000                  nan                   nan                   nan 
  8.1000e-13                   nan            0.00000000                  nan                   nan                   nan 
  8.1500e-13                   nan            0.00000000                  nan                   nan                   nan 
  8.2000e-13                   nan            0.00000000                  nan                   nan                   nan 
  8.2500e-13                   nan            0.00000000                  nan                   nan                   nan 
  8.3000e-13                   nan            0.00000000                  nan                   nan                   nan 
  8.3500e-13                   nan            0.00000000                  nan                   nan                   nan 
  8.4000e-13                   nan            0.00000000                  nan                   nan                   nan 
  8.4500e-13                   nan            0.00000000                  nan                   nan                   nan 
  8.5000e-13                   nan            0.00000000                  nan                   nan                   nan 
  8.5500e-13                   nan            0.00000000                  nan                   nan                   nan 
  8.6000e-13                   nan            0.00000000                  nan                   nan                   nan 
  8.6500e-13                   nan            0.00000000                  nan                   nan                   nan 
  8.7000e-13                   nan            0.00000000                  nan                   nan                   nan 
  8.7500e-13                   nan            0.00000000                  nan                   nan                   nan 
  8.8000e-13                   nan            0.00000000                  nan                   nan                   nan 
  8.8500e-13                   nan            0.00000000                  nan                   nan                   nan 
  8.9000e-13                   nan            0.00000000                  nan                   nan                   nan 
  8.9500e-13                   nan            0.00000000                  nan                   nan                   nan 
  9.0000e-13                   nan            0.00000000                  nan                   nan                   nan 
  9.0500e-13                   nan            0.00000000                  nan                   nan                   nan 
  9.1000e-13                   nan            0.00000000                  nan                   nan                   nan 
  9.1500e-13                   nan            0.00000000                  nan                   nan                   nan 
  9.2000e-13                   nan            0.00000000                  nan                   nan                   nan 
  9.2500e-13                   nan            0.00000000                  nan                   nan                   nan 
