  time (s)              T(t) (K)              P(t) (Pa)           Kinetic En. (n.u.)     Potential En. (n.u.) Total En. (n.u.)
  6.7500e-13   120    1241001097        2735            0          2735 
  4.3000e-13   121    1239303053        2766            0          2766 
  9.2500e-13   121    1239303053        2766            0          2766 
  1.7500e-13   121    1239303053        2766            0          2766 
  6.8000e-13   121    1239303053        2766            0          2766 
  4.3500e-13   124    1383595776        2818            0          2818 
  9.3000e-13   124    1383595776        2818            0          2818 
  1.8000e-13   124    1524855189        2838            0          2838 
  6.8500e-13   124    1524855189        2838            0          2838 
  4.4000e-13   124    1614041155        2829            0          2829 
  9.3500e-13   124    1614041155        2829            0          2829 
  1.8500e-13   124    1899710313        2827            0          2827 
  6.9000e-13   124    1899710313        2827            0          2827 
  4.4500e-13   123    2070751287        2798            0          2798 
  9.4000e-13   123    2070751287        2798            0          2798 
  1.9000e-13   122    2201524950        2776            0          2776 
  6.9500e-13   122    2201524950        2776            0          2776 
  4.5000e-13   120    2236647711        2740            0          2740 
  9.4500e-13   120    2236647711        2740            0          2740 
  1.9500e-13   119    2216809822        2714            0          2714 
  7.0000e-13   119    2216809822        2714            0          2714 
  4.5500e-13   118    2253422133        2685            0          2685 
  9.5000e-13   118    2253422133        2685            0          2685 
  2.0000e-13   117    2317624734        2667            0          2667 
  7.0500e-13   117    2317624734        2667            0          2667 
  4.6000e-13   116    2331368533        2647            0          2647 
  9.5500e-13   116    2331368533        2647            0          2647 
  2.0500e-13   116    2334775009        2651            0          2651 
  7.1000e-13   116    2334775009        2651            0          2651 
  4.6500e-13   116    2325477359        2637            0          2637 
  9.6000e-13   116    2325477359        2637            0          2637 
  7.1500e-13   117    2277180547        2668            0          2668 
  2.1000e-13   117    2277180547        2668            0          2668 
  9.6500e-13   122    2266539190        2780            0          2780 
  4.7000e-13   122    2266539190        2780            0          2780 
  7.2000e-13   122    2266539190        2780            0          2780 
  2.1500e-13   122    2266539190        2780            0          2780 
  4.7500e-13   127    2563021612        2897            0          2897 
  9.7000e-13   127    2563021612        2897            0          2897 
  7.2500e-13   129    2525223979        2941            0          2941 
  2.2000e-13   129    2525223979        2941            0          2941 
  4.8000e-13   129    2520642922        2952            0          2952 
  9.7500e-13   129    2520642922        2952            0          2952 
  7.3000e-13   130    2500610846        2966            0          2966 
  2.2500e-13   130    2500610846        2966            0          2966 
  4.8500e-13   129    2555372563        2943            0          2943 
  9.8000e-13   129    2555372563        2943            0          2943 
  7.3500e-13   129    2637705417        2936            0          2936 
  2.3000e-13   129    2637705417        2936            0          2936 
  4.9000e-13   127    2810895265        2894            0          2894 
  9.8500e-13   127    2810895265        2894            0          2894 
  7.4000e-13   126    2804987904        2882            0          2882 
  2.3500e-13   126    2804987904        2882            0          2882 
  4.9500e-13   124    2882060743        2837            0          2837 
  9.9000e-13   124    2882060743        2837            0          2837 
  7.4500e-13   124    2870581404        2823            0          2823 
  2.4000e-13   124    2870581404        2823            0          2823 
  5.0000e-13   122    2878522048        2785            0          2785 
  9.9500e-13   122    2878522048        2785            0          2785 
  7.5000e-13   122    2839276282        2781            0          2781 
  2.4500e-13   122    2839276282        2781            0          2781 
  1.0000e-12   122    2827970324        2782            0          2782 
  2.5000e-13   122    2855230110        2784            0          2784 
