  time (s)              T(t) (K)              P(t) (Pa)           Kinetic En. (n.u.)     Potential En. (n.u.) Total En. (n.u.)
  6.5500e-13   102     553110542        2324       -10770         -8445 
  9.1000e-13   102     551029403        2324       -10766         -8442 
  4.1000e-13   102     551029403        2324       -10766         -8442 
  1.5500e-13   102     604635255        2328       -10768         -8440 
  6.6000e-13   102     604635255        2328       -10769         -8441 
  9.1500e-13   102     659118919        2330       -10766         -8437 
  4.1500e-13   102     659118919        2330       -10766         -8437 
  1.6000e-13   102     745060798        2335       -10768         -8433 
  6.6500e-13   102     745060798        2335       -10769         -8434 
  4.2000e-13   102     867297411        2337       -10767         -8430 
  9.2000e-13   103     857655613        2344       -10772         -8428 
  1.6500e-13   103     866426463        2355       -10777         -8422 
  6.7000e-13   103     866426463        2355       -10777         -8422 
  4.2500e-13   103     908632792        2352       -10776         -8424 
  9.2500e-13   103    1033882100        2351       -10775         -8424 
  1.7000e-13   103     866404704        2349       -10773         -8424 
  6.7500e-13   103     866404704        2349       -10773         -8424 
  4.3000e-13   103     859632831        2347       -10766         -8419 
  9.3000e-13   103     911661211        2340       -10758         -8418 
  1.7500e-13   102     999099218        2326       -10750         -8424 
  6.8000e-13   102     989785483        2324       -10749         -8425 
  4.3500e-13   102     989785483        2324       -10744         -8420 
  9.3500e-13   102     946110768        2318       -10731         -8413 
  1.8000e-13   101     888799422        2298       -10719         -8421 
  6.8500e-13   101     854400682        2293       -10717         -8424 
  4.4000e-13   100     953785743        2288       -10712         -8424 
  9.4000e-13   100     953785743        2288       -10712         -8423 
  1.8500e-13   100     987290535        2271       -10695         -8424 
  6.9000e-13   100     987290535        2271       -10692         -8421 
  4.4500e-13    99    1225729357        2256       -10684         -8427 
  9.4500e-13    99    1225729357        2256       -10683         -8427 
  1.9000e-13    99    1393884860        2251       -10678         -8428 
  6.9500e-13    99    1393884860        2251       -10677         -8427 
  4.5000e-13    98    1576150355        2244       -10672         -8428 
  9.5000e-13    98    1576150355        2244       -10671         -8427 
  1.9500e-13    99    1650262644        2248       -10676         -8428 
  7.0000e-13    99    1650262644        2248       -10677         -8429 
  4.5500e-13    99    1644287711        2249       -10674         -8425 
  9.5500e-13    99    1644287711        2249       -10674         -8425 
  2.0000e-13    99    1738159929        2257       -10682         -8425 
  7.0500e-13    99    1738159929        2257       -10682         -8425 
  4.6000e-13    99    1776976566        2260       -10682         -8421 
  9.6000e-13    99    1776976566        2260       -10681         -8421 
  2.0500e-13   100    1813071848        2269       -10689         -8420 
  7.1000e-13   100    1813071848        2269       -10688         -8419 
  4.6500e-13   100    1887982937        2271       -10687         -8417 
  9.6500e-13   100    1887982937        2271       -10687         -8416 
  2.1000e-13   100    1909433679        2279       -10692         -8414 
  7.1500e-13   100    1909433679        2279       -10692         -8414 
  4.7000e-13   100    1901003975        2279       -10689         -8410 
  9.7000e-13   100    1901003975        2279       -10689         -8410 
  2.1500e-13   100    1925075107        2288       -10692         -8405 
  7.2000e-13   100    1925075107        2288       -10692         -8405 
  4.7500e-13   100    2146179705        2290       -10689         -8399 
  9.7500e-13   100    2146179705        2290       -10690         -8399 
  2.2000e-13   101    2207090383        2301       -10693         -8392 
  7.2500e-13   101    2207090383        2301       -10694         -8393 
  4.8000e-13   103    2236863608        2341       -10691         -8350 
  9.8000e-13   103    2236863608        2341       -10691         -8350 
  2.2500e-13   103    2236863608        2341       -10702         -8360 
  7.3000e-13   103    2236863608        2341       -10707         -8365 
  4.8500e-13   111    2272495284        2542       -10746         -8204 
  9.8500e-13   111    2272495284        2542       -10754         -8212 
  2.3000e-13   111    2272495284        2542       -10780         -8238 
  7.3500e-13   111    2272495284        2542       -10785         -8243 
  4.9000e-13   116    2374602717        2644       -10867         -8223 
  9.9000e-13   118    2450759768        2702       -10888         -8186 
  2.3500e-13   118    2450759768        2702       -10892         -8190 
  7.4000e-13   118    2450759768        2702       -10895         -8193 
  4.9500e-13   119    2402489505        2721       -10926         -8205 
  9.9500e-13   121    2379990234        2769       -10929         -8159 
  2.4000e-13   121    2379990234        2769       -10931         -8162 
  7.4500e-13   121    2379990234        2769       -10934         -8164 
  5.0000e-13   121    2379990234        2769       -10945         -8176 
  1.0000e-12   124    2415051100        2828       -10960         -8133 
  2.4500e-13   124    2415051100        2828       -10960         -8133 
  7.5000e-13   124    2415051100        2828       -10960         -8133 
  2.5000e-13   125    2375078153        2851       -10972         -8121 
