  time (s)              T(t) (K)              P(t) (Pa)           Kinetic En. (n.u.)     Potential En. (n.u.) Total En. (n.u.)
  0.0000e+00   100             0        2283        -2788          -506 
  5.0000e-15   100             0        2274        -2786          -512 
  1.0000e-14    99             0        2259        -2786          -527 
  1.5000e-14    98             0        2238        -2781          -543 
  2.0000e-14    97             0        2211        -2775          -563 
  2.5000e-14    96             0        2179        -2767          -588 
  3.0000e-14    94             0        2141        -2750          -609 
  3.5000e-14    92             0        2098        -2739          -641 
  4.0000e-14    90             0        2049        -2726          -677 
  4.5000e-14    88             0        1996        -2711          -715 
  5.0000e-14    85             0        1939        -2696          -757 
  5.5000e-14    82             0        1878        -2680          -802 
  6.0000e-14    80             0        1814        -2662          -849 
  6.5000e-14    77             0        1747        -2645          -897 
  7.0000e-14    74             0        1680        -2626          -947 
  7.5000e-14    71             0        1612        -2608          -996 
  8.0000e-14    68             0        1545        -2590         -1045 
  8.5000e-14    65             0        1480        -2572         -1092 
  9.0000e-14    62             0        1418        -2555         -1138 
  9.5000e-14    60             0        1360        -2539         -1179 
  1.0000e-13    57             0        1307        -2524         -1218 
  1.0500e-13    55             0        1260        -2511         -1251 
  1.1000e-13    54             0        1220        -2500         -1280 
  1.1500e-13    52             0        1188        -2491         -1303 
  1.2000e-13    51             0        1163        -2483         -1321 
  1.2500e-13    50             0        1145        -2478         -1333 
  1.3000e-13    50             0        1135        -2475         -1339 
  1.3500e-13    50             0        1133        -2473         -1340 
  1.4000e-13    50             0        1137        -2473         -1337 
  1.4500e-13    50             0        1147        -2475         -1329 
  1.5000e-13    51             0        1162        -2479         -1317 
  1.5500e-13    52             0        1182        -2484         -1302 
  1.6000e-13    53             0        1206        -2539         -1333 
  1.6500e-13    54             0        1232        -2545         -1313 
  1.7000e-13    55             0        1261        -2552         -1291 
  1.7500e-13    57             0        1292        -2560         -1268 
  1.8000e-13    58             0        1323        -2567         -1244 
  1.8500e-13    59             0        1354        -2575         -1221 
  1.9000e-13    61             0        1385        -2582         -1197 
  1.9500e-13    62             0        1415        -2590         -1175 
  2.0000e-13    63             0        1444        -2597         -1153 
  2.0500e-13    65             0        1471        -2604         -1132 
  2.1000e-13    66             0        1497        -2610         -1113 
  2.1500e-13    67             0        1521        -2616         -1095 
  2.2000e-13    68             0        1543        -2621         -1078 
  2.2500e-13    69             0        1564        -2626         -1062 
  2.3000e-13    69             0        1582        -2630         -1048 
  2.3500e-13    70             0        1599        -2634         -1035 
  2.4000e-13    71             0        1615        -2638         -1023 
  2.4500e-13    71             0        1629        -2603          -974 
  2.5000e-13    72             0        1642        -2607          -965 
  2.5500e-13    73             0        1654        -2611          -956 
  2.6000e-13    73             0        1666        -2614          -948 
  2.6500e-13    74             0        1676        -2617          -941 
  2.7000e-13    74             0        1686        -2620          -934 
  2.7500e-13    74             0        1696        -2623          -927 
  2.8000e-13    75             0        1705        -2626          -921 
  2.8500e-13    75             0        1714        -2629          -914 
  2.9000e-13    76             0        1723        -2631          -908 
  2.9500e-13    76             0        1732        -2634          -902 
  3.0000e-13    76             0        1741        -2636          -896 
  3.0500e-13    77             0        1749        -2638          -889 
  3.1000e-13    77             0        1758        -2641          -882 
