  time (s)              T(t) (K)              P(t) (Pa)           Kinetic En. (n.u.)     Potential En. (n.u.) Total En. (n.u.)
  6.2500e-13   101      69086968        2309       -10611         -8302 
  6.3000e-13   101     169719622        2307       -10609         -8302 
  6.3500e-13   101      91199546        2305       -10607         -8302 
  6.4000e-13   101     137384071        2303       -10605         -8302 
  6.4500e-13   101      76735451        2302       -10604         -8302 
  6.5000e-13   101     109560410        2301       -10603         -8302 
  6.5500e-13   101     122512432        2300       -10602         -8302 
  6.6000e-13   101             0        2299       -10601         -8302 
  6.6500e-13   101             0        2299       -10601         -8302 
  6.7000e-13   101      98614047        2299       -10601         -8302 
  6.7500e-13   101      86571977        2299       -10601         -8302 
  6.8000e-13   101      54322819        2300       -10602         -8302 
  6.8500e-13   101      62289140        2301       -10603         -8302 
  6.9000e-13   101      76618562        2302       -10604         -8302 
  6.9500e-13   101             0        2303       -10605         -8302 
  7.0000e-13   101             0        2304       -10606         -8302 
  7.0500e-13   101             0        2305       -10607         -8302 
  7.1000e-13   101     138430072        2307       -10609         -8302 
  7.1500e-13   101      79792235        2308       -10610         -8302 
  7.2000e-13   101      57348812        2309       -10611         -8302 
  7.2500e-13   101             0        2310       -10613         -8302 
  7.3000e-13   101             0        2311       -10614         -8302 
  7.3500e-13   101     147148035        2312       -10614         -8302 
  7.4000e-13   101             0        2313       -10615         -8302 
  7.4500e-13   101      52838395        2313       -10615         -8302 
  7.5000e-13   101             0        2313       -10615         -8302 
  7.5500e-13   101      50516908        2313       -10615         -8302 
  7.6000e-13   101     114339279        2312       -10614         -8302 
  7.6500e-13   101     184631261        2311       -10613         -8302 
  7.7000e-13   101      57776516        2309       -10612         -8302 
  7.7500e-13   101     261873561        2308       -10610         -8302 
  7.8000e-13   101     111702883        2305       -10608         -8302 
  7.8500e-13   101             0        2303       -10605         -8302 
  7.9000e-13   101             0        2300       -10602         -8302 
  7.9500e-13   101      83019196        2296       -10598         -8302 
  8.0000e-13   101      64577223        2292       -10594         -8302 
  8.0500e-13   100      62810833        2288       -10590         -8302 
  8.1000e-13   100     122078755        2283       -10585         -8302 
  8.1500e-13   100     115408330        2278       -10580         -8302 
