  time (s)              T(t) (K)              P(t) (Pa)           Kinetic En. (n.u.)     Potential En. (n.u.) Total En. (n.u.)
  0.0000e+00   100             0        2283            0          2283 
  5.0000e-15   100             0        2274            0          2274 
  1.0000e-14    99             0        2259            0          2259 
  1.5000e-14    98             0        2238            0          2238 
  2.0000e-14    97             0        2211            0          2211 
  2.5000e-14    96             0        2179            0          2179 
  3.0000e-14    94             0        2141            0          2141 
  3.5000e-14    92             0        2098            0          2098 
  4.0000e-14    90             0        2049            0          2049 
  4.5000e-14    88             0        1996            0          1996 
  5.0000e-14    85             0        1939            0          1939 
  5.5000e-14    82             0        1878            0          1878 
  6.0000e-14    80             0        1814            0          1814 
  6.5000e-14    77             0        1747            0          1747 
  7.0000e-14    74             0        1680            0          1680 
  7.5000e-14    71             0        1612            0          1612 
  8.0000e-14    68             0        1545            0          1545 
  8.5000e-14    65             0        1480            0          1480 
  9.0000e-14    62             0        1418            0          1418 
  9.5000e-14    60             0        1360            0          1360 
  1.0000e-13    57             0        1307            0          1307 
  1.0500e-13    55             0        1260            0          1260 
  1.1000e-13    54             0        1220            0          1220 
  1.1500e-13    52             0        1188            0          1188 
  1.2000e-13    51             0        1163            0          1163 
  1.2500e-13    50             0        1145            0          1145 
  1.3000e-13    50             0        1135            0          1135 
  1.3500e-13    50             0        1133            0          1133 
  1.4000e-13    50             0        1137            0          1137 
  1.4500e-13    50             0        1147            0          1147 
  1.5000e-13    51             0        1162            0          1162 
  1.5500e-13    52             0        1182            0          1182 
  1.6000e-13    53             0        1206            0          1206 
  1.6500e-13    54             0        1232            0          1232 
  1.7000e-13    55             0        1261            0          1261 
  1.7500e-13    57             0        1292            0          1292 
  1.8000e-13    58             0        1323            0          1323 
  1.8500e-13    59             0        1354            0          1354 
  1.9000e-13    61             0        1385            0          1385 
  1.9500e-13    62             0        1415            0          1415 
  2.0000e-13    63             0        1444            0          1444 
  2.0500e-13    65             0        1471            0          1471 
  2.1000e-13    66             0        1497            0          1497 
  2.1500e-13    67             0        1521            0          1521 
  2.2000e-13    68             0        1543            0          1543 
  2.2500e-13    69             0        1564            0          1564 
  2.3000e-13    69             0        1582            0          1582 
  2.3500e-13    70             0        1599            0          1599 
  2.4000e-13    71             0        1615            0          1615 
  2.4500e-13    71             0        1629            0          1629 
  2.5000e-13    72             0        1642            0          1642 
  2.5500e-13    73             0        1654            0          1654 
  2.6000e-13    73             0        1666            0          1666 
  2.6500e-13    74             0        1676            0          1676 
  2.7000e-13    74             0        1686            0          1686 
  2.7500e-13    74             0        1696            0          1696 
  2.8000e-13    75             0        1705            0          1705 
  2.8500e-13    75             0        1714            0          1714 
  2.9000e-13    76             0        1723            0          1723 
  2.9500e-13    76             0        1732            0          1732 
  3.0000e-13    76             0        1741            0          1741 
  3.0500e-13    77             0        1749            0          1749 
  3.1000e-13    77             0        1758            0          1758 
  3.1500e-13    78             0        1767            0          1767 
  3.2000e-13    78             0        1777            0          1777 
  3.2500e-13    78             0        1787            0          1787 
  3.3000e-13    79             0        1797            0          1797 
  3.3500e-13    79             0        1807            0          1807 
  3.4000e-13    80             0        1818            0          1818 
  3.4500e-13    80             0        1830            0          1830 
  3.5000e-13    81             0        1842            0          1842 
  3.5500e-13    81             0        1854            0          1854 
  3.6000e-13    82             0        1867            0          1867 
  3.6500e-13    82             0        1881            0          1881 
  3.7000e-13    83             0        1894            0          1894 
  3.7500e-13    84             0        1909            0          1909 
  3.8000e-13    84             0        1924            0          1924 
  3.8500e-13    85             0        1939            0          1939 
  3.9000e-13    86             0        1955            0          1955 
  3.9500e-13    86             0        1971            0          1971 
  4.0000e-13    87             0        1988            0          1988 
  4.0500e-13    88             0        2005            0          2005 
  4.1000e-13    89             0        2022            0          2022 
  4.1500e-13    89             0        2040            0          2040 
  4.2000e-13    90             0        2057            0          2057 
  4.2500e-13    91             0        2075            0          2075 
  4.3000e-13    92             0        2092            0          2092 
  4.3500e-13    92             0        2109            0          2109 
  4.4000e-13    93             0        2126            0          2126 
  4.4500e-13    94             0        2142            0          2142 
  4.5000e-13    95             0        2158            0          2158 
  4.5500e-13    95             0        2173            0          2173 
  4.6000e-13    96             0        2187            0          2187 
  4.6500e-13    97      80566455        2201            0          2201 
  4.7000e-13    97             0        2213            0          2213 
  4.7500e-13    98             0        2225            0          2225 
  4.8000e-13    98             0        2236            0          2236 
  4.8500e-13    98             0        2246            0          2246 
  4.9000e-13    99             0        2255            0          2255 
  4.9500e-13    99      95268835        2263            0          2263 
  5.0000e-13   100             0        2270            0          2270 
  5.0500e-13   100             0        2276            0          2276 
  5.1000e-13   100             0        2282            0          2282 
  5.1500e-13   100             0        2287            0          2287 
  5.2000e-13   101             0        2292            0          2292 
  5.2500e-13   101             0        2296            0          2296 
  5.3000e-13   101             0        2300            0          2300 
  5.3500e-13   101             0        2303            0          2303 
  5.4000e-13   101             0        2306            0          2306 
  5.4500e-13   101             0        2309            0          2309 
  5.5000e-13   101             0        2311            0          2311 
  5.5500e-13   101             0        2313            0          2313 
  5.6000e-13   102             0        2315            0          2315 
  5.6500e-13   102             0        2317            0          2317 
  5.7000e-13   102      53799051        2318            0          2318 
  5.7500e-13   102             0        2319            0          2319 
  5.8000e-13   102             0        2319            0          2319 
  5.8500e-13   102             0        2319            0          2319 
  5.9000e-13   102             0        2319            0          2319 
  5.9500e-13   102      77449396        2318            0          2318 
  6.0000e-13   102             0        2317            0          2317 
  6.0500e-13   102             0        2316            0          2316 
  6.1000e-13   102             0        2314            0          2314 
  6.1500e-13   101             0        2313            0          2313 
  6.2000e-13   101             0        2311            0          2311 
  6.2500e-13   101      69086968        2309            0          2309 
  6.3000e-13   101     169719622        2307            0          2307 
  6.3500e-13   101      91199546        2305            0          2305 
  6.4000e-13   101     137384071        2303            0          2303 
  6.4500e-13   101      76735451        2302            0          2302 
  6.5000e-13   101     109560410        2301            0          2301 
  6.5500e-13   101     122512432        2300            0          2300 
  6.6000e-13   101             0        2299            0          2299 
  6.6500e-13   101             0        2299            0          2299 
  6.7000e-13   101      98614047        2299            0          2299 
  6.7500e-13   101      86571977        2299            0          2299 
  6.8000e-13   101      54322819        2300            0          2300 
  6.8500e-13   101      62289140        2301            0          2301 
  6.9000e-13   101      76618562        2302            0          2302 
  6.9500e-13   101             0        2303            0          2303 
  7.0000e-13   101             0        2304            0          2304 
  7.0500e-13   101             0        2305            0          2305 
  7.1000e-13   101     138430072        2307            0          2307 
  7.1500e-13   101      79792235        2308            0          2308 
  7.2000e-13   101      57348812        2309            0          2309 
  7.2500e-13   101             0        2310            0          2310 
  7.3000e-13   101             0        2311            0          2311 
  7.3500e-13   101     147148035        2312            0          2312 
  7.4000e-13   101             0        2313            0          2313 
  7.4500e-13   101      52838395        2313            0          2313 
  7.5000e-13   101             0        2313            0          2313 
  7.5500e-13   101      50516908        2313            0          2313 
  7.6000e-13   101     114339279        2312            0          2312 
  7.6500e-13   101     184631261        2311            0          2311 
  7.7000e-13   101      57776516        2309            0          2309 
  7.7500e-13   101     261873561        2308            0          2308 
  7.8000e-13   101     111702883        2305            0          2305 
  7.8500e-13   101             0        2303            0          2303 
  7.9000e-13   101             0        2300            0          2300 
  7.9500e-13   101      83019196        2296            0          2296 
  8.0000e-13   101      64577223        2292            0          2292 
  8.0500e-13   100      62810833        2288            0          2288 
  8.1000e-13   100     122078755        2283            0          2283 
  8.1500e-13   100     115408330        2278            0          2278 
  8.2000e-13   100             0        2273            0          2273 
  8.2500e-13    99      26846668        2267            0          2267 
  8.3000e-13    99      44404458        2262            0          2262 
  8.3500e-13    99      49059254        2256            0          2256 
  8.4000e-13    99      99933044        2251            0          2251 
  8.4500e-13    99      47292423        2246            0          2246 
  8.5000e-13    98             0        2241            0          2241 
  8.5500e-13    98             0        2237            0          2237 
