  time (s)              T(t) (K)              P(t) (Pa)           Kinetic En. (n.u.)     Potential En. (n.u.) Total En. (n.u.)
  2.5500e-13    99             0        2255            0          2255 
  0.0000e+00    97             0        2215            0          2215 
  7.5500e-13    96             0        2190            0          2190 
  5.0500e-13    95             0        2170            0          2170 
  2.6000e-13    93             0        2129            0          2129 
  5.0000e-15    91             0        2069            0          2069 
  7.6000e-13    86             0        1959            0          1959 
  5.1000e-13    86             0        1959            0          1959 
  2.6500e-13    82             0        1874            0          1874 
  1.0000e-14    79             0        1812            0          1812 
  7.6500e-13    76             0        1727            0          1727 
  5.1500e-13    73             0        1658            0          1658 
  2.7000e-13    71             0        1613            0          1613 
  1.5000e-14    68             0        1561            0          1561 
  7.7000e-13    65             0        1475            0          1475 
  5.2000e-13    62             0        1403            0          1403 
  2.7500e-13    60             0        1368            0          1368 
  2.0000e-14    58             0        1333            0          1333 
  7.7500e-13    56             0        1271            0          1271 
  5.2500e-13    54             0        1222            0          1222 
  2.8000e-13    52             0        1177            0          1177 
  2.5000e-14    52             0        1177            0          1177 
  7.8000e-13    50             0        1146            0          1146 
  5.3000e-13    50             0        1138            0          1138 
  2.8500e-13    50             0        1145            0          1145 
  3.0000e-14    50             0        1145            0          1145 
  7.8500e-13    51             0        1172            0          1172 
  5.3500e-13    52             0        1195            0          1195 
  2.9000e-13    55             0        1251            0          1251 
  3.5000e-14    55             0        1251            0          1251 
  7.9000e-13    57             0        1310            0          1310 
  5.4000e-13    59             0        1344            0          1344 
  2.9500e-13    62             0        1414            0          1414 
  4.0000e-14    62             0        1414            0          1414 
  7.9500e-13    65             0        1484            0          1484 
  5.4500e-13    67             0        1519            0          1519 
  3.0000e-13    69             0        1580            0          1580 
  4.5000e-14    69             0        1580            0          1580 
  8.0000e-13    73             0        1664            0          1664 
  5.5000e-13    73             0        1664            0          1664 
  3.0500e-13    76             0        1740            0          1740 
  5.0000e-14    76             0        1740            0          1740 
  8.0500e-13    79             0        1802            0          1802 
  5.5500e-13    79             0        1802            0          1802 
  3.1000e-13    81             0        1856            0          1856 
  5.5000e-14    81             0        1856            0          1856 
  8.1000e-13    83             0        1902            0          1902 
  5.6000e-13    83             0        1902            0          1902 
  3.1500e-13    85             0        1942            0          1942 
  6.0000e-14    85             0        1942            0          1942 
  8.1500e-13    87             0        1976            0          1976 
  5.6500e-13    87             0        1976            0          1976 
  3.2000e-13    88             0        2018            0          2018 
  6.5000e-14    88             0        2018            0          2018 
  8.2000e-13    90             0        2046            0          2046 
  5.7000e-13    90             0        2046            0          2046 
  3.2500e-13    91             0        2075            0          2075 
  7.0000e-14    91             0        2075            0          2075 
  8.2500e-13    92             0        2103            0          2103 
  5.7500e-13    92             0        2103            0          2103 
  3.3000e-13    93             0        2131            0          2131 
  7.5000e-14    93             0        2131            0          2131 
  8.3000e-13    95             0        2161            0          2161 
  5.8000e-13    95             0        2161            0          2161 
  3.3500e-13    96             0        2197            0          2197 
  8.0000e-14    96             0        2197            0          2197 
  8.3500e-13    98             0        2233            0          2233 
  5.8500e-13    98             0        2233            0          2233 
  3.4000e-13   100             0        2278            0          2278 
  8.5000e-14   100             0        2278            0          2278 
  8.4000e-13   102             0        2322            0          2322 
  5.9000e-13   102             0        2322            0          2322 
  3.4500e-13   104             0        2377            0          2377 
  9.0000e-14   104             0        2377            0          2377 
  8.4500e-13   106             0        2428            0          2428 
  5.9500e-13   106             0        2428            0          2428 
  9.5000e-14   109             0        2497            0          2497 
  3.5000e-13   109             0        2497            0          2497 
  8.5000e-13   113             0        2582            0          2582 
  6.0000e-13   113             0        2582            0          2582 
  3.5500e-13   116             0        2656            0          2656 
  1.0000e-13   119             0        2706            0          2706 
  8.5500e-13   119             0        2707            0          2707 
  6.0500e-13   119             0        2707            0          2707 
  3.6000e-13   121             0        2754            0          2754 
  1.0500e-13   121             0        2754            0          2754 
  8.6000e-13   122             0        2793            0          2793 
  6.1000e-13   122             0        2793            0          2793 
  3.6500e-13   124             0        2821            0          2821 
  1.1000e-13   124             0        2821            0          2821 
  8.6500e-13   125             0        2849            0          2849 
  6.1500e-13   125             0        2849            0          2849 
  3.7000e-13   126      77649920        2867            0          2867 
  1.1500e-13   126      77649920        2867            0          2867 
  8.7000e-13   127      77574521        2887            0          2887 
  6.2000e-13   127      77574521        2887            0          2887 
  3.7500e-13   127     168270874        2898            0          2898 
  1.2000e-13   127     168270874        2898            0          2898 
  8.7500e-13   128     168048093        2915            0          2915 
  6.2500e-13   128     168048093        2915            0          2915 
  3.8000e-13   128     167264385        2920            0          2920 
  1.2500e-13   128     167785799        2922            0          2922 
  6.3000e-13   128     167284592        2924            0          2924 
  8.8000e-13   128     167755244        2927            0          2927 
  3.8500e-13   128     167321520        2923            0          2923 
  6.3500e-13   128     167756979        2914            0          2914 
  8.8500e-13   127     167764763        2899            0          2899 
  1.3000e-13   127     167764763        2899            0          2899 
  3.9000e-13   127     167116504        2895            0          2895 
  6.4000e-13   127     167537955        2888            0          2888 
  3.9500e-13   126     250689429        2872            0          2872 
  1.3500e-13   126     167510034        2862            0          2862 
  6.4500e-13   125     167182672        2854            0          2854 
  8.9000e-13   124     167461109        2826            0          2826 
  4.0000e-13   124     167461109        2826            0          2826 
  1.4000e-13   124     260264372        2819            0          2819 
  6.5000e-13   123     167608261        2813            0          2813 
  4.0500e-13   123     462156982        2804            0          2804 
  1.4500e-13   122     167634815        2790            0          2790 
  6.5500e-13   122     235798789        2783            0          2783 
  8.9500e-13   122     261223534        2780            0          2780 
  4.1000e-13   122     310553916        2775            0          2775 
  1.5000e-13   121     235911380        2761            0          2761 
  6.6000e-13   121     167638184        2756            0          2756 
  4.1500e-13   120     167654166        2746            0          2746 
  9.0000e-13   120     167654166        2746            0          2746 
  1.5500e-13   120     273236673        2737            0          2737 
  6.6500e-13   120     270417870        2738            0          2738 
  4.2000e-13   120     346854087        2736            0          2736 
  9.0500e-13   120     262460613        2735            0          2735 
  1.6000e-13   120     208152658        2727            0          2727 
  6.7000e-13   120     207995224        2728            0          2728 
  4.2500e-13   120     208319436        2727            0          2727 
  9.1000e-13   120     268270213        2727            0          2727 
  1.6500e-13   119     400578919        2720            0          2720 
  6.7500e-13   119     350760310        2717            0          2717 
  4.3000e-13   119     208663468        2714            0          2714 
  9.1500e-13   119     207683414        2715            0          2715 
  1.7000e-13   119     365614922        2712            0          2712 
  6.8000e-13   119     292815827        2708            0          2708 
  4.3500e-13   119     354587595        2704            0          2704 
  9.2000e-13   119     370340695        2704            0          2704 
  1.7500e-13   118     253307239        2699            0          2699 
  6.8500e-13   118     336130416        2694            0          2694 
  4.4000e-13   118     273532087        2687            0          2687 
  9.2500e-13   118     326958929        2686            0          2686 
  1.8000e-13   118     266867086        2681            0          2681 
  6.9000e-13   117     321421438        2674            0          2674 
  4.4500e-13   117     423041756        2663            0          2663 
  9.3000e-13   117     310418037        2661            0          2661 
  1.8500e-13   116     251267955        2654            0          2654 
  6.9500e-13   116     248885784        2647            0          2647 
  4.5000e-13   115     314278312        2632            0          2632 
  9.3500e-13   115     247922969        2628            0          2628 
  1.9000e-13   115     210285649        2623            0          2623 
  7.0000e-13   115     309403376        2618            0          2618 
  4.5500e-13   114     276033619        2600            0          2600 
  9.4000e-13   114     261503153        2597            0          2597 
